accuracy,roc_auc,f1,avg_precision,brier,n_estimators,learning_rate,num_leaves,max_depth,random_state
0.748211731044349,0.5493533620871099,0.07793615070434275,0.277511414203792,0.19006522286305869,200,0.03,15,-1,42
0.7474964234620888,0.5490343358103842,0.04826016260162602,0.27613195688248665,0.18795655494948685,200,0.03,15,5,42
0.7467811158798283,0.5466549677906414,0.09673963135706433,0.2753422556340576,0.19280638017905016,200,0.03,31,-1,42
0.7510729613733905,0.546249161932915,0.05931462540431856,0.27743311263322573,0.1878146749692233,200,0.03,31,5,42
0.7467811158798283,0.5520962392363684,0.10148212574889955,0.28361146229736695,0.19326547485530834,200,0.05,15,-1,42
0.7439198855507869,0.5522811072181891,0.07251291989664083,0.2783806689237365,0.19123857636255612,200,0.05,15,5,42
0.7424892703862662,0.5545237432806441,0.1177828205338269,0.28097320679076093,0.1964402740065835,200,0.05,31,-1,42
0.7474964234620888,0.5503953898178355,0.07361840186643336,0.27774004003549235,0.19132542506004346,200,0.05,31,5,42
0.7489270386266095,0.5495480032863763,0.12464494569757727,0.2802111034568702,0.19517178845474992,400,0.03,15,-1,42
0.7439198855507868,0.5494924000369529,0.0772056285381778,0.27955734804959254,0.19280885394944206,400,0.03,15,5,42
0.7417739628040058,0.5579511259706335,0.1263412193059654,0.28084237356878017,0.19876371347723965,400,0.03,31,-1,42
0.7439198855507868,0.5428195091576312,0.07724600321518038,0.27550028925146336,0.19293194500293784,400,0.03,31,5,42
0.7389127324749643,0.556884019096859,0.16472996378523067,0.2862243089824838,0.20048501389482035,400,0.05,15,-1,42
0.7367668097281831,0.5545541378163311,0.1110667021938005,0.2805613021586269,0.1972361597008314,400,0.05,15,5,42
0.7389127324749643,0.555671476563347,0.16506420213316766,0.2829915372987668,0.20402474436821416,400,0.05,31,-1,42
0.7389127324749643,0.5532745499106106,0.11626862193109962,0.2854074288285965,0.197234093268257,400,0.05,31,5,42
